timestamp,frame,L_knee,R_knee,L_hip,R_hip
2026-05-25T19:48:30.235,248,176.86,171.82,175.79,166.56
2026-05-25T19:48:30.348,249,176.86,172.21,175.79,166.84
2026-05-25T19:48:30.450,250,174.77,165.58,174.77,163.08
2026-05-25T19:48:30.566,251,176.01,168.38,175.27,163.48
2026-05-25T19:48:30.764,252,176.7,169.75,176.01,164.31
2026-05-25T19:48:30.909,253,177.56,169.11,178.23,165.53
2026-05-25T19:48:31.020,254,175.02,169.69,177.04,165.51
2026-05-25T19:48:31.121,255,174.0,167.78,176.52,165.12
2026-05-25T19:48:31.232,256,175.97,170.61,177.08,166.21
2026-05-25T19:48:31.339,257,176.65,170.42,176.94,165.93
2026-05-25T19:48:31.454,258,176.23,166.2,176.91,163.66
2026-05-25T19:48:31.655,259,174.98,162.07,175.87,162.03
2026-05-25T19:48:31.754,260,173.44,161.7,174.91,161.54
2026-05-25T19:48:31.853,261,173.24,161.22,174.54,161.29
2026-05-25T19:48:31.955,262,175.49,172.08,176.51,167.13
2026-05-25T19:48:32.039,263,175.2,168.96,176.25,165.67
2026-05-25T19:48:32.139,264,173.89,167.59,176.0,165.25
2026-05-25T19:48:32.239,265,172.35,157.63,174.47,160.43
2026-05-25T19:48:32.349,266,173.63,161.71,175.69,161.81
2026-05-25T19:48:32.454,267,172.77,162.77,174.75,162.29
2026-05-25T19:48:32.557,268,173.79,168.03,174.74,165.5
2026-05-25T19:48:32.649,269,176.49,172.74,176.61,167.95
2026-05-25T19:48:32.750,270,178.03,172.76,177.51,167.54
2026-05-25T19:48:32.906,271,178.53,175.11,178.05,168.77
2026-05-25T19:48:33.042,272,178.08,163.02,177.8,162.43
2026-05-25T19:48:33.138,273,178.89,170.74,178.78,167.1
2026-05-25T19:48:33.243,274,179.8,175.26,179.7,169.18
2026-05-25T19:48:33.372,275,177.7,171.42,177.02,166.74
2026-05-25T19:48:33.499,276,175.82,167.77,175.69,164.82
2026-05-25T19:48:33.627,277,175.59,172.74,175.26,167.02
2026-05-25T19:48:33.745,278,178.31,178.86,177.56,169.29
2026-05-25T19:48:33.838,279,178.71,179.48,177.57,170.13
2026-05-25T19:48:33.930,280,178.93,179.48,177.9,170.53
2026-05-25T19:48:34.020,281,178.75,179.49,178.23,170.53
